"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.65268954100645e-170,-14.3679054658486,0.035,0.211,2.80494468899615e-166,"Dysfunctional.CD8","TMEM176B"
2.89296886562827e-169,-21.5309144954273,0.291,0.517,4.90994675874431e-165,"Dysfunctional.CD8","GNAS"
8.77716860777388e-169,0.487582007299405,0.207,0.053,1.48966105611138e-164,"Dysfunctional.CD8","BCL11B"
1.29215607744743e-168,-0.43164113119388,0.283,0.096,2.19304729464378e-164,"Dysfunctional.CD8","RHOH"
1.62428926895495e-168,-70.0696839250393,0.099,0.308,2.75674374727035e-164,"Dysfunctional.CD8","GADD45B"
1.93836929585069e-168,-58.6972316925816,0.152,0.383,3.28980036891779e-164,"Dysfunctional.CD8","SOD2"
2.26464040790284e-168,-37.3207776566542,0.095,0.301,3.84354770029269e-164,"Dysfunctional.CD8","ASAH1"
6.41810876632215e-168,-183.508434169943,0.366,0.596,1.0892814198202e-163,"Dysfunctional.CD8","HSP90AB1"
1.09692214144826e-167,-600.663401841156,0.038,0.216,1.86169625846598e-163,"Dysfunctional.CD8","IGFBP5"
1.95671108918832e-167,-2.86859849349144,0.408,0.184,3.32093006057041e-163,"Dysfunctional.CD8","LCP1"
2.12682761342607e-167,-1.17141209828177,0.031,0.201,3.60965182550672e-163,"Dysfunctional.CD8","NFIC"
4.68141500733841e-167,-20.2075562952227,0.311,0.526,7.94529755045476e-163,"Dysfunctional.CD8","SEC62"
2.56249504746411e-166,-27.2389366963422,0.037,0.212,4.34906659455609e-162,"Dysfunctional.CD8","MMP14"
7.7253313089037e-165,-294.389842118153,0.232,0.461,1.31114322974714e-160,"Dysfunctional.CD8","IFI27"
2.52083489397756e-164,-76.2231995831863,0.052,0.236,4.27836098205872e-160,"Dysfunctional.CD8","TCIM"
3.75580901578159e-164,-174.207617930974,0.124,0.338,6.37435906158451e-160,"Dysfunctional.CD8","TM4SF1"
4.78763889683564e-164,-123.81817449382,0.058,0.243,8.12558073570944e-160,"Dysfunctional.CD8","SERPINF1"
2.28201177163176e-163,-11.3508633371789,0.055,0.238,3.87303037881341e-159,"Dysfunctional.CD8","BRI3"
2.36039007613794e-162,-6.09958195409125,0.388,0.176,4.0060540372213e-158,"Dysfunctional.CD8","GIMAP7"
4.22390925416805e-162,-366.494928316407,0.116,0.328,7.16881878617401e-158,"Dysfunctional.CD8","FN1"
9.38453360388253e-162,-5.70100812680716,0.171,0.388,1.59274304325094e-157,"Dysfunctional.CD8","YWHAE"
4.60399461040266e-160,-266.502363931219,0.1,0.298,7.8138996527754e-156,"Dysfunctional.CD8","ADIRF"
4.27978463396567e-159,-129.404498478778,0.129,0.344,7.26365048076654e-155,"Dysfunctional.CD8","CYSTM1"
1.42849398688669e-158,-2.05988752293641,0.049,0.226,2.42443999454409e-154,"Dysfunctional.CD8","CTNNA1"
3.33901240081966e-157,-17.6716199601555,0.114,0.322,5.66697184667113e-153,"Dysfunctional.CD8","JUND"
5.96867730915764e-157,-43.2542235933986,0.038,0.207,1.01300391291024e-152,"Dysfunctional.CD8","CTSZ"
1.00209600514196e-156,-5.61316746437794,0.052,0.227,1.70075733992694e-152,"Dysfunctional.CD8","SPTBN1"
1.32569074098656e-156,-45.5723381735486,0.035,0.201,2.24996232560238e-152,"Dysfunctional.CD8","COL6A1"
1.89313632088861e-156,-26.9286378736536,0.359,0.154,3.21303096381215e-152,"Dysfunctional.CD8","IL7R"
1.90960695033132e-156,-49.0863704873661,0.049,0.223,3.24098491610231e-152,"Dysfunctional.CD8","PRSS23"
2.44011216899703e-156,-115.280200682862,0.258,0.478,4.14135837322176e-152,"Dysfunctional.CD8","HSP90B1"
7.24774430932951e-155,-139.759791492391,0.548,0.69,1.23008716417941e-150,"Dysfunctional.CD8","CD63"
1.31391812763277e-154,-19.5556852200677,0.255,0.463,2.22998184621834e-150,"Dysfunctional.CD8","ANXA5"
