"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PAIP2",1.39860710140031e-23,-0.535723272513175,0.1,0.34,2.3737159724966e-19,"0","PAIP2"
"ATP5PB",1.49664902291275e-23,-0.515379266424782,0.147,0.408,2.54011272168752e-19,"0","ATP5PB"
"PSMA1",1.63326717005207e-23,-0.314284651244762,0.177,0.426,2.77198104101238e-19,"0","PSMA1"
"HNRNPU",1.72286492545804e-23,0.374897113562632,0.337,0.491,2.92404635148739e-19,"0","HNRNPU"
"UBL5",2.01488576978564e-23,-0.374149556100674,0.41,0.7,3.41966412848018e-19,"0","UBL5"
"GUK1",2.06327426683195e-23,-0.303206711485298,0.277,0.53,3.50178908566719e-19,"0","GUK1"
"PSME1",2.07135107643674e-23,-0.317369067308853,0.26,0.548,3.51549704692843e-19,"0","PSME1"
"KTN1",2.23546561122139e-23,0.492236201469497,0.27,0.378,3.79403223536494e-19,"0","KTN1"
"COX5A",2.46339386128145e-23,-0.460531497548826,0.217,0.492,4.18087206136689e-19,"0","COX5A"
"TMEM14C.1",3.23550061704998e-23,-0.386942118943096,0.173,0.428,5.49129164725723e-19,"0","TMEM14C"
"RBPJ",3.51300130025146e-23,0.500303393748301,0.287,0.434,5.96226580678679e-19,"0","RBPJ"
"FXYD5",3.55146306045254e-23,-0.313207269891064,0.343,0.618,6.02754310620005e-19,"0","FXYD5"
"SLIRP",3.80879559354204e-23,0.381397953775778,0.383,0.525,6.46428788135955e-19,"0","SLIRP"
"LRPAP1",3.87438772289518e-23,-0.735629558307859,0.073,0.32,6.5756108432977e-19,"0","LRPAP1"
"MYL12B",3.94830104661096e-23,-0.291302185512527,0.41,0.687,6.70105653630812e-19,"0","MYL12B"
"NDUFB4",4.64276994219551e-23,-0.602795994203431,0.21,0.495,7.87970914589423e-19,"0","NDUFB4"
"LYZ.1",5.11984101756147e-23,-1.34188516851858,0.627,0.873,8.68939417500532e-19,"0","LYZ"
"SEC61G",5.55182351513561e-23,-0.577767748322143,0.233,0.527,9.42255486988815e-19,"0","SEC61G"
"SRRM1",5.84045688698392e-23,0.345296851984309,0.253,0.384,9.91242342858911e-19,"0","SRRM1"
"HSP90AA1",6.1259203007514e-23,0.591920368466269,0.63,0.749,1.03969119344353e-18,"0","HSP90AA1"
"TPM4",7.97847145425148e-23,0.279376480037278,0.243,0.39,1.35410617521556e-18,"0","TPM4"
"PTPRC.1",8.2176059878545e-23,0.409594070765315,0.35,0.472,1.39469208825867e-18,"0","PTPRC"
"SLC25A5.1",8.48676371348396e-23,-0.712959401349287,0.207,0.505,1.4403735374525e-18,"0","SLC25A5"
"SEC11A",1.09787968154686e-22,-0.293367214730472,0.233,0.49,1.86332139552133e-18,"0","SEC11A"
"S100A10.1",1.12366595383344e-22,-0.506116090840209,0.613,0.871,1.90708585684612e-18,"0","S100A10"
"EMP3.2",1.16719202050703e-22,-0.83553481371331,0.28,0.59,1.98095829720454e-18,"0","EMP3"
"HLA-DRB1.2",1.19875300357928e-22,-1.13552513389281,0.53,0.803,2.03452359767475e-18,"0","HLA-DRB1"
"SEC61B",1.33286526976451e-22,-0.684619376845462,0.3,0.602,2.26213893584432e-18,"0","SEC61B"
"HMGB2",1.41228561405628e-22,0.415762279204576,0.357,0.508,2.39693114417631e-18,"0","HMGB2"
"GAPDH",1.46902267969046e-22,-0.560253115158741,0.697,0.919,2.49322529197065e-18,"0","GAPDH"
"ASAH1.1",1.62773879365752e-22,-0.547458873709332,0.277,0.567,2.76259828059554e-18,"0","ASAH1"
"TMBIM4",1.95953534296293e-22,-0.309316191879975,0.223,0.485,3.32572338407669e-18,"0","TMBIM4"
"POLR2L",2.00916283721308e-22,-0.371773014548995,0.257,0.532,3.40995116731803e-18,"0","POLR2L"
"RHOG.1",2.14017513230107e-22,-0.615181833047971,0.163,0.436,3.63230523454137e-18,"0","RHOG"
"LAMTOR1",2.28429889603449e-22,-0.736281993766522,0.147,0.423,3.87691208634973e-18,"0","LAMTOR1"
"SFT2D1",2.47736044921594e-22,-0.271220624390437,0.167,0.398,4.20457615440929e-18,"0","SFT2D1"
"NDUFS7",3.02278825990101e-22,-0.650813191113415,0.127,0.389,5.13027623470399e-18,"0","NDUFS7"
"NPC2",3.02328381526093e-22,-0.614274618874849,0.643,0.888,5.13111729126084e-18,"0","NPC2"
"SSBP1",3.06196874241977e-22,-0.425115778492632,0.163,0.425,5.19677334963483e-18,"0","SSBP1"
"SH3BGRL3",3.40078485891663e-22,-0.380446447527661,0.66,0.896,5.77181206255331e-18,"0","SH3BGRL3"
"GNG5",3.60636150262737e-22,-0.300383665746406,0.373,0.646,6.12071674225918e-18,"0","GNG5"
"SSR3",4.53162722988117e-22,-0.467501168803352,0.183,0.442,7.69107773455432e-18,"0","SSR3"
"NDUFB8",4.71932431096381e-22,-0.499234571703684,0.19,0.458,8.00963722056778e-18,"0","NDUFB8"
"EIF3F.1",5.58512980136245e-22,-0.735049371474357,0.163,0.445,9.47908229887234e-18,"0","EIF3F"
"ZNF706",5.69120146093655e-22,-0.378861128178896,0.23,0.492,9.65910711950151e-18,"0","ZNF706"
"HLA-DPB1.2",6.3795282946306e-22,-1.05171015517896,0.603,0.843,1.08273354216471e-17,"0","HLA-DPB1"
"PSMB6",6.44523427434576e-22,-0.267634269880315,0.147,0.365,1.09388516104196e-17,"0","PSMB6"
"BANF1",7.19223328490086e-22,0.315153783612703,0.263,0.408,1.22066583311337e-17,"0","BANF1"
"TBCA",8.11545454406296e-22,-0.334779409490089,0.283,0.545,1.37735494521836e-17,"0","TBCA"
"HSBP1",8.81663780832707e-22,-0.266869986413188,0.233,0.489,1.49635976882927e-17,"0","HSBP1"
"ATP5MC3",9.63640462795571e-22,-0.301355914453339,0.277,0.536,1.63549059345664e-17,"0","ATP5MC3"
